Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Score Penalties,Attendance,Round_ID,Half-time Home Goals,Half-time Away Goals,Home Team Initials,Away Team Initials
2006,12 Jun 2006 - 15:00,Group F,Fritz-Walter-Stadion,Kaiserslautern,Australia,3,1,Japan,0-0,46000,218,0,1,AUS,JPN
2006,12 Jun 2006 - 18:00,Group E,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,USA,0,3,Czech Republic,0-0,52000,218,0,2,USA,CZE
2006,12 Jun 2006 - 21:00,Group E,"FIFA World Cup Stadium, Hanover",Hanover,Italy,2,0,Ghana,0-0,43000,218,1,0,ITA,GHA
2006,13 Jun 2006 - 15:00,Group G,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,Korea Republic,2,1,Togo,0-0,48000,218,0,1,KOR,TOG
2006,13 Jun 2006 - 18:00,Group G,Gottlieb-Daimler-Stadion,Stuttgart,France,0,0,Switzerland,0-0,52000,218,0,0,FRA,SUI
2006,13 Jun 2006 - 21:00,Group F,Olympiastadion,Berlin,Brazil,1,0,Croatia,0-0,72000,218,1,0,BRA,CRO
2006,14 Jun 2006 - 15:00,Group H,Zentralstadion,Leipzig,Spain,4,0,Ukraine,0-0,43000,218,2,0,ESP,UKR
2006,14 Jun 2006 - 18:00,Group H,"FIFA World Cup Stadium, Munich",Munich,Tunisia,2,2,Saudi Arabia,0-0,66000,218,1,0,TUN,KSA
2006,14 Jun 2006 - 21:00,Group A,"FIFA World Cup Stadium, Dortmund",Dortmund,Germany,1,0,Poland,0-0,65000,218,0,0,GER,POL
2006,15 Jun 2006 - 15:00,Group A,"FIFA World Cup Stadium, Hamburg",Hamburg,Ecuador,3,0,Costa Rica,0-0,50000,218,1,0,ECU,CRC
2006,15 Jun 2006 - 18:00,Group B,Franken-Stadion,Nuremberg,England,2,0,"rn"">Trinidad and Tobago",0-0,41000,218,0,0,ENG,TRI
2006,15 Jun 2006 - 21:00,Group B,Olympiastadion,Berlin,Sweden,1,0,Paraguay,0-0,72000,218,0,0,SWE,PAR
2006,16 Jun 2006 - 15:00,Group C,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,Argentina,6,0,"rn"">Serbia and Montenegro",0-0,52000,218,3,0,ARG,SCG
2006,16 Jun 2006 - 18:00,Group C,Gottlieb-Daimler-Stadion,Stuttgart,Netherlands,2,1,C�te d'Ivoire,0-0,52000,218,2,1,NED,CIV
2006,16 Jun 2006 - 21:00,Group D,"FIFA World Cup Stadium, Hanover",Hanover,Mexico,0,0,Angola,0-0,43000,218,0,0,MEX,ANG
2006,17 Jun 2006 - 15:00,Group D,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,Portugal,2,0,IR Iran,0-0,48000,218,0,0,POR,IRN
2006,17 Jun 2006 - 18:00,Group E,"FIFA World Cup Stadium, Cologne",Cologne,Czech Republic,0,2,Ghana,0-0,45000,218,0,1,CZE,GHA
2006,17 Jun 2006 - 21:00,Group E,Fritz-Walter-Stadion,Kaiserslautern,Italy,1,1,USA,0-0,46000,218,1,1,ITA,USA
2006,18 Jun 2006 - 15:00,Group F,Franken-Stadion,Nuremberg,Japan,0,0,Croatia,0-0,41000,218,0,0,JPN,CRO
2006,18 Jun 2006 - 18:00,Group F,"FIFA World Cup Stadium, Munich",Munich,Brazil,2,0,Australia,0-0,66000,218,0,0,BRA,AUS
2006,18 Jun 2006 - 21:00,Group G,Zentralstadion,Leipzig,France,1,1,Korea Republic,0-0,43000,218,1,0,FRA,KOR
2006,19 Jun 2006 - 15:00,Group G,"FIFA World Cup Stadium, Dortmund",Dortmund,Togo,0,2,Switzerland,0-0,65000,218,0,1,TOG,SUI
2006,19 Jun 2006 - 18:00,Group H,"FIFA World Cup Stadium, Hamburg",Hamburg,Saudi Arabia,0,4,Ukraine,0-0,50000,218,0,2,KSA,UKR
2006,19 Jun 2006 - 21:00,Group H,Gottlieb-Daimler-Stadion,Stuttgart,Spain,3,1,Tunisia,0-0,52000,218,0,1,ESP,TUN
2006,20 Jun 2006 - 16:00,Group A,Olympiastadion,Berlin,Ecuador,0,3,Germany,0-0,72000,218,0,2,ECU,GER
2006,20 Jun 2006 - 16:00,Group A,"FIFA World Cup Stadium, Hanover",Hanover,Costa Rica,1,2,Poland,0-0,43000,218,1,1,CRC,POL
2006,20 Jun 2006 - 21:00,Group B,"FIFA World Cup Stadium, Cologne",Cologne,Sweden,2,2,England,0-0,45000,218,0,1,SWE,ENG
2006,20 Jun 2006 - 21:00,Group B,Fritz-Walter-Stadion,Kaiserslautern,Paraguay,2,0,"rn"">Trinidad and Tobago",0-0,46000,218,1,0,PAR,TRI
2006,21 Jun 2006 - 16:00,Group D,Zentralstadion,Leipzig,Iran,1,1,Angola,0-0,38000,218,0,0,IRN,ANG
2006,21 Jun 2006 - 16:00,Group D,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,Portugal,2,1,Mexico,0-0,52000,218,2,1,POR,MEX
2006,21 Jun 2006 - 21:00,Group C,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,Netherlands,0,0,Argentina,0-0,48000,218,0,0,NED,ARG
2006,21 Jun 2006 - 21:00,Group C,"FIFA World Cup Stadium, Munich",Munich,C�te d'Ivoire,3,2,"rn"">Serbia and Montenegro",0-0,66000,218,1,2,CIV,SCG
2006,22 Jun 2006 - 16:00,Group E,"FIFA World Cup Stadium, Hamburg",Hamburg,Czech Republic,0,2,Italy,0-0,50000,218,0,1,CZE,ITA
2006,22 Jun 2006 - 16:00,Group E,Franken-Stadion,Nuremberg,Ghana,2,1,USA,0-0,41000,218,2,1,GHA,USA
